difficulty,index,method,psnr,ssim,preparation,reference_size,candidate_size
easy,99,tsrn,28.0732,0.7966,canonical_128x32,128x32,128x32
easy,100,bicubic,31.398,0.816,64x16_bicubic_to_128x32,128x32,128x32
easy,100,realesrgan,30.7176,0.7796,canonical_128x32,128x32,128x32
easy,100,tsrn,29.6332,0.791,canonical_128x32,128x32,128x32
medium,1,bicubic,21.6053,0.7454,64x16_bicubic_to_128x32,128x32,128x32
medium,1,realesrgan,15.7722,0.6259,canonical_128x32,128x32,128x32
medium,1,tsrn,17.5143,0.7424,canonical_128x32,128x32,128x32
medium,2,bicubic,20.2526,0.58,64x16_bicubic_to_128x32,128x32,128x32
medium,2,realesrgan,19.1794,0.5261,canonical_128x32,128x32,128x32
medium,2,tsrn,17.9964,0.6398,canonical_128x32,128x32,128x32
medium,3,bicubic,19.5907,0.5658,64x16_bicubic_to_128x32,128x32,128x32
medium,3,realesrgan,19.1277,0.5791,canonical_128x32,128x32,128x32
medium,3,tsrn,20.2622,0.6624,canonical_128x32,128x32,128x32
medium,4,bicubic,19.9695,0.6099,64x16_bicubic_to_128x32,128x32,128x32
medium,4,realesrgan,15.7717,0.5894,canonical_128x32,128x32,128x32
medium,4,tsrn,19.1355,0.6232,canonical_128x32,128x32,128x32
medium,5,bicubic,19.8893,0.5929,64x16_bicubic_to_128x32,128x32,128x32
medium,5,realesrgan,16.886,0.5901,canonical_128x32,128x32,128x32
medium,5,tsrn,18.4617,0.6426,canonical_128x32,128x32,128x32
medium,6,bicubic,19.3902,0.5599,64x16_bicubic_to_128x32,128x32,128x32
medium,6,realesrgan,17.8057,0.4616,canonical_128x32,128x32,128x32
medium,6,tsrn,18.0605,0.5978,canonical_128x32,128x32,128x32
medium,7,bicubic,16.6582,0.4793,64x16_bicubic_to_128x32,128x32,128x32
medium,7,realesrgan,16.4742,0.5239,canonical_128x32,128x32,128x32
medium,7,tsrn,14.7448,0.5746,canonical_128x32,128x32,128x32
medium,8,bicubic,14.8499,0.5688,64x16_bicubic_to_128x32,128x32,128x32
medium,8,realesrgan,13.4138,0.5851,canonical_128x32,128x32,128x32
medium,8,tsrn,16.447,0.6896,canonical_128x32,128x32,128x32
medium,9,bicubic,15.4642,0.4414,64x16_bicubic_to_128x32,128x32,128x32
medium,9,realesrgan,15.1607,0.4405,canonical_128x32,128x32,128x32
medium,9,tsrn,17.8037,0.648,canonical_128x32,128x32,128x32
medium,10,bicubic,17.1704,0.5551,64x16_bicubic_to_128x32,128x32,128x32
medium,10,realesrgan,16.1267,0.5094,canonical_128x32,128x32,128x32
medium,10,tsrn,16.2053,0.5958,canonical_128x32,128x32,128x32
medium,11,bicubic,18.4835,0.6716,64x16_bicubic_to_128x32,128x32,128x32
medium,11,realesrgan,17.0647,0.6328,canonical_128x32,128x32,128x32
medium,11,tsrn,22.115,0.6334,canonical_128x32,128x32,128x32
medium,12,bicubic,21.3099,0.6266,64x16_bicubic_to_128x32,128x32,128x32
medium,12,realesrgan,20.2573,0.5937,canonical_128x32,128x32,128x32
medium,12,tsrn,23.0394,0.6254,canonical_128x32,128x32,128x32
medium,13,bicubic,17.0749,0.6565,64x16_bicubic_to_128x32,128x32,128x32
medium,13,realesrgan,14.7609,0.5558,canonical_128x32,128x32,128x32
medium,13,tsrn,23.7845,0.703,canonical_128x32,128x32,128x32
medium,14,bicubic,20.3126,0.5827,64x16_bicubic_to_128x32,128x32,128x32
medium,14,realesrgan,17.6566,0.5095,canonical_128x32,128x32,128x32
medium,14,tsrn,23.2294,0.6249,canonical_128x32,128x32,128x32
medium,15,bicubic,19.86,0.5763,64x16_bicubic_to_128x32,128x32,128x32
medium,15,realesrgan,17.3788,0.559,canonical_128x32,128x32,128x32
medium,15,tsrn,21.6581,0.6336,canonical_128x32,128x32,128x32
medium,16,bicubic,17.6682,0.6761,64x16_bicubic_to_128x32,128x32,128x32
medium,16,realesrgan,17.2678,0.6511,canonical_128x32,128x32,128x32
medium,16,tsrn,18.5662,0.7143,canonical_128x32,128x32,128x32
medium,17,bicubic,21.8027,0.6567,64x16_bicubic_to_128x32,128x32,128x32
medium,17,realesrgan,21.6755,0.6414,canonical_128x32,128x32,128x32
medium,17,tsrn,25.1817,0.7309,canonical_128x32,128x32,128x32
medium,18,bicubic,17.729,0.6922,64x16_bicubic_to_128x32,128x32,128x32
medium,18,realesrgan,17.6196,0.6606,canonical_128x32,128x32,128x32
medium,18,tsrn,21.4998,0.7331,canonical_128x32,128x32,128x32
medium,19,bicubic,21.9779,0.6592,64x16_bicubic_to_128x32,128x32,128x32
medium,19,realesrgan,21.8508,0.6386,canonical_128x32,128x32,128x32
medium,19,tsrn,26.0868,0.7073,canonical_128x32,128x32,128x32
