difficulty,image_name,psnr,ssim,alignment
hard,hard_086_lr_sr.png,24.2046,0.6618,bicubic_to_hr
hard,hard_087_lr_sr.png,24.8146,0.6496,bicubic_to_hr
hard,hard_088_lr_sr.png,24.669,0.5881,bicubic_to_hr
hard,hard_089_lr_sr.png,24.1533,0.5932,bicubic_to_hr
hard,hard_090_lr_sr.png,25.6716,0.6713,bicubic_to_hr
hard,hard_091_lr_sr.png,20.6063,0.4829,bicubic_to_hr
hard,hard_092_lr_sr.png,20.8028,0.6151,bicubic_to_hr
hard,hard_093_lr_sr.png,21.5506,0.5854,bicubic_to_hr
hard,hard_094_lr_sr.png,20.7341,0.5715,bicubic_to_hr
hard,hard_095_lr_sr.png,20.655,0.5314,bicubic_to_hr
hard,hard_096_lr_sr.png,20.0071,0.4588,bicubic_to_hr
hard,hard_097_lr_sr.png,21.2713,0.6144,bicubic_to_hr
hard,hard_098_lr_sr.png,17.2087,0.4732,bicubic_to_hr
hard,hard_099_lr_sr.png,17.1812,0.4857,bicubic_to_hr
hard,hard_100_lr_sr.png,21.5677,0.5959,bicubic_to_hr
